condition,category,direction,alpha,label,on_target,n_pairs,mean_baseline,mean_steered,shift,cohen_d,wilcoxon_stat,p_raw,p_bonf,significant_005
JUDGE_neg_0.5,JUDGE,neg,0.5,TEST,False,40,0.5393414186480165,0.5573191251328922,0.0179777064848756,0.09728228035319372,341.0,0.3611039877814619,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,JUDGE,True,40,0.09112046046668851,0.08488374341634812,-0.006236717050340395,-0.12124669041075133,319.0,0.22650754260575923,1.0,False
JUDGE_neg_0.5,JUDGE,neg,0.5,PLAN,False,40,0.04151262582401535,0.04934969702127601,0.007837071197260648,0.2034443558408046,374.0,0.6367651425298391,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,MONITOR,False,40,0.02194271932550454,0.032500017304146644,0.0105572979786421,0.37983374534229114,221.0,0.01835416873306859,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,RULE,False,40,0.007240970001723958,0.0071396467652528,-0.00010132323647115763,-0.0075043694837676166,196.0,0.8733496974545409,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,ORIENT,False,40,0.01855043425641561,0.00949905222155071,-0.009051382034864896,-0.4715581014478125,144.0,0.00019334589705977123,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,DESCRIBE,False,40,0.12017275708819927,0.08036797898436196,-0.03980477810383731,-0.24043030761377548,315.0,0.20641296513713314,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.011589544290609152,-0.00911177654816045,-0.221530463675992,237.0,0.20139241473048308,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,HYPO,False,40,0.1394172935506663,0.15300771042613454,0.013590416875468248,0.17342474159690682,359.0,0.5013747400735156,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,TEST,False,40,0.5393414186480165,0.5540635272856118,0.014722108637595188,0.07168952206719525,367.0,0.5717037787562731,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,JUDGE,True,40,0.09112046046668851,0.09312210741924482,0.002001646952556305,0.03276701961833699,409.0,0.9946976143110078,1.0,False
JUDGE_neg_1.0,JUDGE,neg,1.0,PLAN,False,40,0.04151262582401535,0.03766657467245756,-0.0038460511515577877,-0.14289354747346014,351.0,0.4358124383925315,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,MONITOR,False,40,0.02194271932550454,0.055143488902347534,0.033200769576842995,0.5648262897910165,101.0,5.507059291793959e-05,,False
JUDGE_neg_1.0,JUDGE,neg,1.0,RULE,False,40,0.007240970001723958,0.005540015797681672,-0.0017009542040422848,-0.1077306115354179,134.0,0.18637637586110412,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,ORIENT,False,40,0.01855043425641561,0.02982819210803509,0.011277757851619477,0.21633442361192962,366.0,0.5626676823321759,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,DESCRIBE,False,40,0.12017275708819927,0.08221969618805558,-0.037953060900143706,-0.20641135258205304,298.0,0.13508384089254832,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,SYNTHESIZE,False,40,0.020701320838769598,0.0008534831062665101,-0.019847837732503093,-0.5889430872812833,8.0,1.3666468688387963e-05,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,HYPO,False,40,0.1394172935506663,0.13753778404935324,-0.0018795095013130147,-0.009494547194428719,340.0,0.35409228332900966,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,TEST,False,40,0.5393414186480165,0.17676048414443396,-0.3625809345035826,-1.4097477034619958,46.0,3.480272425804287e-08,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,JUDGE,True,40,0.09112046046668851,0.09456122812717192,0.003440767660483411,0.01949694580392595,293.0,0.11579998912860627,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,PLAN,False,40,0.04151262582401535,0.08294815959433376,0.04143553377031841,0.4795385202923183,206.0,0.005332173790520756,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,MONITOR,False,40,0.02194271932550454,0.39514304368826686,0.37320032436276235,1.1718509447675727,19.0,5.584297468885779e-10,,False
JUDGE_neg_2.0,JUDGE,neg,2.0,RULE,False,40,0.007240970001723958,0.00014792899408284,-0.0070930410076411165,-0.8167332311519612,0.0,1.821529714896801e-05,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,ORIENT,False,40,0.01855043425641561,0.012470267608894022,-0.006080166647521585,-0.46874714363831976,233.0,0.01650634321049438,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,DESCRIBE,False,40,0.12017275708819927,0.11339184521512236,-0.006780911873076931,-0.03746627951851237,370.0,0.599208943085614,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.013805732794486283,-0.006895588044283316,-0.19396175997860854,223.0,0.2027401688927205,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,HYPO,False,40,0.1394172935506663,0.14957107300438105,0.010153779453714772,0.1330594891599568,355.0,0.4679718594561564,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,TEST,False,40,0.5393414186480165,0.5267708226755375,-0.012570595972479027,-0.06798653736728269,361.0,0.5185272742000961,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,JUDGE,False,40,0.09112046046668851,0.06550002237408234,-0.02562043809260619,-0.5107786319441181,203.0,0.004653470972698415,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,PLAN,False,40,0.04151262582401535,0.051283782145575565,0.009771156321560212,0.3019405511299163,263.0,0.048164484947847086,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,MONITOR,True,40,0.02194271932550454,0.059887053333801496,0.03794433400829696,0.8519803316432957,65.0,3.1401395972352475e-07,6.280279194470495e-06,True
MONITOR_pos_0.5,MONITOR,pos,0.5,RULE,False,40,0.007240970001723958,0.007319400848119058,7.843084639510019e-05,0.005656667893217648,313.5,0.980398645407107,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,ORIENT,False,40,0.01855043425641561,0.016128491727865863,-0.0024219425285497424,-0.11919117183390662,356.0,0.47620780297620513,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,DESCRIBE,False,40,0.12017275708819927,0.10215535983447577,-0.018017397253723498,-0.09141018285317513,346.0,0.3974238318751304,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.015358450244288696,-0.005342870594480907,-0.11126842143059529,219.0,0.2718145572179088,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,HYPO,False,40,0.1394172935506663,0.1750860819662641,0.035668788415597855,0.38180646289196946,252.0,0.033219984823517734,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,TEST,False,40,0.5393414186480165,0.4702484236710903,-0.06909299497692623,-0.34523148775229534,235.0,0.017831046616265667,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,JUDGE,False,40,0.09112046046668851,0.0901418486897599,-0.000978611776928627,-0.01328689955005435,355.0,0.4679718594561564,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,PLAN,False,40,0.04151262582401535,0.05771378961655349,0.016201163792538126,0.39091373453012673,235.0,0.017831046616265667,,False
MONITOR_pos_1.0,MONITOR,pos,1.0,MONITOR,True,40,0.02194271932550454,0.06454077849584852,0.042598059170343976,0.6219420126075721,78.0,1.1621450539678335e-06,2.324290107935667e-05,True
MONITOR_pos_1.0,MONITOR,pos,1.0,RULE,False,40,0.007240970001723958,0.008626775753853044,0.0013858057521290881,0.09323096197218549,198.0,0.9093510601128354,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,ORIENT,False,40,0.01855043425641561,0.013736925218063042,-0.004813509038352566,-0.23249628161091695,306.0,0.16589964473860164,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,DESCRIBE,False,40,0.12017275708819927,0.10365575970344634,-0.016516997384752947,-0.08951427537316901,393.0,0.826382224491681,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.012502320820128273,-0.008199000018641326,-0.20737945195780833,167.0,0.17789591393265258,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,HYPO,False,40,0.1394172935506663,0.15386683781616856,0.014449544265502262,0.18776499997192106,338.0,0.34032321635640983,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,TEST,False,40,0.5393414186480165,0.5449256077126318,0.005584189064615249,0.029844659533194335,401.0,0.9100459608780511,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,JUDGE,False,40,0.09112046046668851,0.10398057354461472,0.012860113077926191,0.27644325464818836,302.0,0.14990237551683094,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,PLAN,False,40,0.04151262582401535,0.04116652834701673,-0.00034609747699862193,-0.011335610735968359,369.0,0.589975534387122,,False
MONITOR_neg_0.5,MONITOR,neg,0.5,MONITOR,True,40,0.02194271932550454,0.020829221534417415,-0.0011134977910871274,-0.04858622051879134,392.0,0.8160389817658142,1.0,False
MONITOR_neg_0.5,MONITOR,neg,0.5,RULE,False,40,0.007240970001723958,0.005336225303512825,-0.0019047446982111325,-0.14957883709028208,189.0,0.2475895826833887,,False
MONITOR_neg_1.0,MONITOR,neg,1.0,ORIENT,False,40,0.01855043425641561,0.027304849717729222,0.008754415461313619,0.23209789682180923,357.0,0.48452077669571736,,False
MONITOR_neg_1.0,MONITOR,neg,1.0,DESCRIBE,False,40,0.12017275708819927,0.0973688098865529,-0.022803947201646392,-0.11665091314188465,349.0,0.42021225081225566,,False
MONITOR_neg_1.0,MONITOR,neg,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.03479172524487621,0.014090404406106621,0.18733578931337566,263.0,0.754508983583105,,False
