category,condition,signed_alpha,target_prop,seed
TEST,TEST_neg_0.5,-0.5,0.6167247386759582,3807
TEST,TEST_neg_0.5,-0.5,0.345679012345679,3808
TEST,TEST_neg_0.5,-0.5,0.4525862068965517,3809
TEST,TEST_neg_0.5,-0.5,0.4923076923076923,3810
TEST,TEST_neg_0.5,-0.5,0.4978165938864629,4801
TEST,TEST_neg_0.5,-0.5,0.508833922261484,4802
TEST,TEST_neg_0.5,-0.5,0.4377358490566038,4803
TEST,TEST_neg_0.5,-0.5,0.4567901234567901,4804
TEST,TEST_neg_0.5,-0.5,0.4418604651162791,4805
TEST,TEST_neg_0.5,-0.5,0.6,4806
TEST,TEST_neg_0.5,-0.5,0.6073619631901841,4807
TEST,TEST_neg_0.5,-0.5,0.5,4808
TEST,TEST_neg_0.5,-0.5,0.7566539923954373,4809
TEST,TEST_neg_0.5,-0.5,0.5833333333333334,4810
TEST,TEST_neg_1.0,-1.0,0.3107344632768362,1801
TEST,TEST_neg_1.0,-1.0,0.3905723905723905,1802
TEST,TEST_neg_1.0,-1.0,0.4571428571428571,1803
TEST,TEST_neg_1.0,-1.0,0.4424242424242424,1804
TEST,TEST_neg_1.0,-1.0,0.4315068493150685,1805
TEST,TEST_neg_1.0,-1.0,0.4190871369294606,1806
TEST,TEST_neg_1.0,-1.0,0.3714285714285714,1807
TEST,TEST_neg_1.0,-1.0,0.5637254901960784,1808
TEST,TEST_neg_1.0,-1.0,0.5470085470085471,1809
TEST,TEST_neg_1.0,-1.0,0.5869565217391305,1810
TEST,TEST_neg_1.0,-1.0,0.4041450777202072,2801
TEST,TEST_neg_1.0,-1.0,0.4310344827586206,2802
TEST,TEST_neg_1.0,-1.0,0.4536082474226804,2803
TEST,TEST_neg_1.0,-1.0,0.38,2804
TEST,TEST_neg_1.0,-1.0,0.3990147783251231,2805
TEST,TEST_neg_1.0,-1.0,0.569672131147541,2806
TEST,TEST_neg_1.0,-1.0,0.5460526315789473,2807
TEST,TEST_neg_1.0,-1.0,0.2911877394636015,2808
TEST,TEST_neg_1.0,-1.0,0.5056179775280899,2809
TEST,TEST_neg_1.0,-1.0,0.46875,2810
TEST,TEST_neg_1.0,-1.0,0.5081967213114754,3801
TEST,TEST_neg_1.0,-1.0,0.5555555555555556,3802
TEST,TEST_neg_1.0,-1.0,0.5091575091575091,3803
TEST,TEST_neg_1.0,-1.0,0.5758928571428571,3804
TEST,TEST_neg_1.0,-1.0,0.273224043715847,3805
TEST,TEST_neg_1.0,-1.0,0.4409448818897638,3806
TEST,TEST_neg_1.0,-1.0,0.3728070175438596,3807
TEST,TEST_neg_1.0,-1.0,0.4347826086956521,3808
TEST,TEST_neg_1.0,-1.0,0.6133828996282528,3809
TEST,TEST_neg_1.0,-1.0,0.4731182795698925,3810
TEST,TEST_neg_1.0,-1.0,0.541501976284585,4801
TEST,TEST_neg_1.0,-1.0,0.413265306122449,4802
TEST,TEST_neg_1.0,-1.0,0.3516483516483517,4803
TEST,TEST_neg_1.0,-1.0,0.3141361256544502,4804
TEST,TEST_neg_1.0,-1.0,0.2567567567567567,4805
TEST,TEST_neg_1.0,-1.0,0.4910179640718562,4806
TEST,TEST_neg_1.0,-1.0,0.5618729096989966,4807
TEST,TEST_neg_1.0,-1.0,0.5378151260504201,4808
TEST,TEST_neg_1.0,-1.0,0.5223214285714286,4809
TEST,TEST_neg_1.0,-1.0,0.4328358208955223,4810
JUDGE,baseline,0.0,0.0946969696969697,1801
JUDGE,baseline,0.0,0.0,1802
JUDGE,baseline,0.0,0.0754716981132075,1803
JUDGE,baseline,0.0,0.13,1804
JUDGE,baseline,0.0,0.0923566878980891,1805
JUDGE,baseline,0.0,0.115987460815047,1806
JUDGE,baseline,0.0,0.0625,1807
